@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
10,7,15395992576,14683308032,1.956,7507526144,2067438976,782718016,495543008,454086016,426571008,235377744,0.030054,0.8467,28.24067,3
5,4,694300928,954531904,2.332,409332000,339679008,324032000,32052000,275000000,297024992,-124096872,0.08365,1.76,21.16,2
5,8,683768128,2800859136,8.358,335107008,269320000,219398000,-26609000,2277468928,83905000,353497504,0.123552,20,0,3
38,9,830464393216,928948682752,15.74,59017998336,41113001984,24462999552,12440999936,111621996544,21533999104,-2832250112,0.00607,0.4167,67.589327,2
27,2,29253332992,34584879104,2.283,15148456960,5515473920,1945680000,1087288960,5557355008,1606066944,731744896,0.016316,0.4433,27.192118,2
16,0,33317285888,39614287872,3.142,12606999552,4681999872,3232000000,71000000,7681999872,1956999936,1445500032,0.020223,9.2941,468.058824,1
18,9,11179564032,11069464576,2.759,4011699968,1664400000,866899968,396200000,1207800064,1576899968,1123837440,0.037599,1.1155,30.007968,4
25,4,308429029376,290762752000,1.536,189265002496,74136002560,36614000640,13715999744,29467000832,32134000640,14433874944,0.044031,0.8597,19.676093,2
8,9,5859536384,5958732800,16.601,358937984,187084992,12819000,633000,292400992,45408000,24460124,0,0,0,0
21,5,84485095424,89743097856,12.282,7306999808,5318000128,3384999936,2132000000,7389000192,2676999936,2095250048,0.00764,0.3044,39.986418,2
4,8,1214252160,1654287104,6.942,238308000,114026000,121874000,78466000,451399008,102118000,262238128,0.054129,0.831,15.453704,1
14,3,10923831296,12418257920,1.479,8399001088,3270075904,782680000,484940992,1755831040,744256000,548997248,0,0,23.047423,2
6,0,930218112,1751991040,2.422,723462016,183974000,173924000,-13779000,895377024,146723008,42092624,0,0,0,1
29,5,86336356352,83493421056,12.45,6706041856,5668932096,2020024960,2860652032,4696446976,1806909056,388593504,0,0,32.371869,2
5,9,4008068608,3953056512,0.982,4025168896,409643008,285800000,162676992,182555008,337344000,257200496,0,0,25.301533,2
19,9,8291896320,8152353792,5.11,1595220992,1099731968,345076992,227127008,67201000,418225984,345396000,0,0,37.486284,1
3,7,996002560,2584164608,1.152,2242873088,411852992,197820000,-153676000,1644996992,66252000,52775248,0,0,0,3
40,9,15412675584,13494674432,4.884,2763000064,2124999936,169000000,168000000,940000000,853000000,902374976,0,0,104.083333,2
10,8,3311132416,6657404416,8.17,814841024,548972992,466735008,126548000,3334384896,364073984,327257888,0.067295,1.7094,25.675214,3
11,4,1594627712,2600289792,1.346,1931650048,1393320960,1410369024,-172140000,1362948992,1196680960,840673152,0,0,0,1
15,7,1665676032,2426638080,0.818,2965641984,588262976,351548992,52420000,775516992,207472000,-21075376,0.020137,0.6588,32.752941,4
12,6,397804768,112176784,0.019,5901181952,-104127000,-347304000,-329120000,41373000,-58356000,-4197750,0,0,0,3
22,8,14790057984,23050401792,11.003,2094828032,1443227008,1275632000,559116992,8289573888,1064686976,794424640,0.045812,1.2073,26.634146,3
7,3,189408944,495572256,2.332,212508992,157292992,70871000,8932870,381395008,59279000,53620752,0,0,17.15,3
6,0,3180967680,5291297792,1.511,3502085120,1074711040,550147008,114877000,2231459072,242406000,237582880,0.015593,0.4399,28.274038,2
6,6,718152064,425805088,5.515,77205000,36542000,-33961000,13031000,46457000,245015008,22596876,0,0,59.416667,2
7,4,599410304,2932815872,1.515,1935410944,1296413056,1454338944,-745500992,2395013120,1106664960,-892763008,0,0,0,3
3,3,1923504896,1859141760,1.496,1242475008,588483968,212928992,115159000,120302000,166260000,125355248,0.030307,0.499,16.731809,0
4,6,171636704,63581704,1.778,35754000,28529000,-49157000,-44772000,18507000,-36475000,-16706500,0,0,0,1
10,7,5353955840,6339155968,1.371,4622900224,1589799936,356000000,125200000,1041500032,242400000,170400000,0,0,43.64,2
3,6,413456384,335031392,0.281,1192539008,240812000,24389000,-8347000,2768000,41602000,45286376,0,0,0,4
10,0,6367348736,6852530688,0.879,7798479872,1220156032,805798976,84662000,1528173952,715070016,617788992,0.013008,0.973,77.540541,2
12,8,5015477248,7914848768,9.234,857126016,636185024,501084000,172600992,3089569024,430236000,379874240,0.048636,1.3291,28.253165,2
8,10,11569332224,19347367936,8.275,2338170880,1383415040,1292123008,645772992,7803106816,915750976,-700683264,0.031495,0.5588,17.703863,0
3,2,1585098752,1861406720,1.377,1352215040,508870016,193343008,95972000,398008992,156139008,95682376,0.00147,0.0247,16.765432,1
6,7,1546418944,1452577920,7.998,181620992,101673000,49178000,43406000,5335000,53527000,40590752,0.011924,0.4328,36.445378,1
