@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.178373,9,-0.351388,-0.551077,0.999968,-1.178623,-0.367584,-0.441158,-0.403018,-2.689189,-0.397703,-0.320977,-0.690137,-0.584779,-1.592794,2
1.778432,9,0.123588,-0.124201,0.805822,-0.656522,-0.303558,-0.442528,-0.365343,-3.695558,-0.400748,-0.328662,-0.690137,-0.584779,-1.592794,1
-0.178373,9,-0.036272,-0.163546,1.13261,-0.912677,-0.346603,-0.407809,-0.168564,-0.073796,-0.386218,-0.293622,-0.690137,-0.584779,-0.050189,1
-0.300674,6,-0.759748,-0.998364,0.593759,-1.315057,-0.371266,-0.441255,-0.400895,-1.221944,-0.43704,-0.380022,-0.690137,-0.584779,-1.592794,1
-0.912175,7,0.203565,0.11647,-0.309447,0.31509,-0.283457,-0.262857,-0.258666,-0.004928,-0.278715,-0.138487,-0.347964,-0.067487,0.708275,2
-1.034476,6,-0.458127,-0.128701,-0.590304,0.279747,-0.212252,-0.210122,-0.389221,0.595147,-0.306638,0.005111,1.805058,8.724661,-1.592794,2
-0.545274,7,-0.195135,-0.324592,0.480587,-0.621152,-0.362206,-0.402916,-0.378992,-0.646877,-0.372606,-0.27781,-0.690137,-0.584779,-1.592794,2
-0.789875,9,-0.725536,-0.547664,0.150797,-0.603587,-0.298619,-0.343044,-0.33805,0.136719,-0.357173,-0.221483,-0.690137,-0.584779,0.716589,0
-0.667575,1,-1.420675,-1.248732,-0.571886,-0.759698,-0.336287,-0.382063,-0.34161,-0.385056,-0.372422,-0.305094,-0.690137,-0.584779,0.177624,2
-0.789875,4,-1.165383,-1.394306,-1.360094,-0.362208,-0.349103,-0.370446,-0.335989,-1.212058,-0.33808,-0.32858,1.045083,0.394037,0.200407,3
0.433128,7,0.367827,0.292351,-0.034281,0.29108,-0.187056,-0.239396,-0.190309,0.148406,-0.214983,-0.177869,-0.690137,-0.584779,0.554991,2
0.310828,6,0.217617,0.239085,-0.028815,0.238519,-0.227865,-0.187757,-0.393828,0.442294,-0.184407,-0.026974,-0.690137,-0.584779,-1.592794,2
0.433128,3,0.370988,0.570095,-0.241313,0.685012,-0.033853,0.034416,-1.052389,0.94242,-0.114929,-0.163926,1.27159,0.643745,-1.592794,3
