@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.155091,3,-0.123497,-0.13422,-0.035593,-0.088152,-0.067279,-0.165697,-0.106261,-0.278923,-0.145647,-0.092392,-0.650203,-0.134552,-0.090894,2
-0.781236,0,-0.168041,-0.182153,-0.035308,-0.270378,-0.248044,-0.229627,-0.180292,-0.337613,-0.216474,-0.198658,-0.650203,-0.134552,-0.208271,1
1.910703,5,0.212635,0.185184,-0.032274,-0.128345,0.073232,-0.035754,0.246395,-0.07835,-0.019689,-0.126019,-0.650203,-0.134552,-0.043407,2
-0.898276,9,-0.154323,-0.172261,-0.035743,-0.191992,-0.234826,-0.217878,-0.154099,-0.386233,-0.193879,-0.153564,-0.650203,-0.134552,-0.079415,2
0.740295,9,-0.135228,-0.15339,-0.034494,-0.249682,-0.194405,-0.211653,-0.144532,-0.394101,-0.184292,-0.135075,-0.650203,-0.134552,-0.01736,1
-1.132358,7,-0.167748,-0.178413,-0.035692,-0.234306,-0.234697,-0.227117,-0.201059,-0.286483,-0.226012,-0.196419,-0.650203,-0.134552,-0.208271,3
3.198151,9,-0.103489,-0.129382,-0.034563,-0.221957,-0.134351,-0.230144,-0.153309,-0.334569,-0.132758,-0.018311,-0.650203,-0.134552,0.321808,2
-0.313072,8,-0.157429,-0.160108,-0.033569,-0.268209,-0.226665,-0.198877,-0.159462,-0.171253,-0.190711,-0.138877,2.24186,0.1322,-0.077511,3
-0.196032,4,-0.16508,-0.178341,-0.035633,-0.241695,-0.177208,-0.099778,-0.2038,-0.305721,-0.092021,-0.031246,-0.650203,-0.134552,-0.208271,1
0.272132,7,-0.164763,-0.179121,-0.035793,-0.217146,-0.224364,-0.210973,-0.170466,-0.345788,-0.209273,-0.211901,0.21519,-0.031746,-0.041466,4
-0.078991,6,-0.170414,-0.189522,-0.036035,-0.147453,-0.26492,-0.284365,-0.227102,-0.395863,-0.240782,-0.208363,-0.650203,-0.134552,-0.208271,3
1.091417,8,-0.106265,-0.08644,-0.032711,-0.237821,-0.174285,-0.113928,-0.09525,0.16673,-0.107666,-0.040941,1.318621,0.053847,-0.072628,3
-0.664195,3,-0.171343,-0.187799,-0.035335,-0.282509,-0.249607,-0.240449,-0.176921,-0.37267,-0.226839,-0.196242,-0.650203,-0.134552,-0.120929,3
-0.781236,0,-0.158009,-0.166247,-0.035583,-0.204411,-0.19587,-0.190117,-0.161194,-0.246481,-0.205132,-0.157676,0.019925,-0.065906,-0.064276,2
-0.781236,6,-0.168986,-0.188112,-0.034372,-0.285721,-0.25668,-0.251459,-0.176313,-0.395516,-0.204823,-0.202746,-0.650203,-0.134552,0.094328,2
-0.664195,4,-0.169516,-0.176846,-0.035582,-0.241605,-0.182884,-0.095161,-0.288911,-0.235326,-0.10269,-0.39464,-0.650203,-0.134552,-0.208271,3
-1.132358,3,-0.163614,-0.181671,-0.035588,-0.258056,-0.224351,-0.225531,-0.161153,-0.390479,-0.214158,-0.181203,0.652266,-0.056683,-0.123059,0
-1.015317,6,-0.171422,-0.18974,-0.035502,-0.286705,-0.25715,-0.253054,-0.184893,-0.397422,-0.238189,-0.210985,-0.650203,-0.134552,-0.208271,1
-0.313072,7,-0.148324,-0.161539,-0.035626,-0.177801,-0.1657,-0.210506,-0.159662,-0.327646,-0.205133,-0.17176,-0.650203,-0.134552,0.01398,2
-1.132358,6,-0.170345,-0.18852,-0.035955,-0.259242,-0.244715,-0.245331,-0.179486,-0.398496,-0.228934,-0.197989,-0.650203,-0.134552,-0.208271,4
-0.313072,0,-0.143807,-0.159231,-0.035775,-0.102409,-0.187351,-0.163269,-0.16568,-0.294451,-0.149107,-0.077971,-0.091165,0.017285,0.18663,2
-0.078991,8,-0.149832,-0.154458,-0.033247,-0.267205,-0.221557,-0.195269,-0.152626,-0.187952,-0.182869,-0.127847,1.439996,0.072854,-0.064382,2
-0.547154,10,-0.12062,-0.103081,-0.033537,-0.232043,-0.177788,-0.112196,-0.082387,0.133549,-0.12532,-0.354372,0.703325,-0.047351,-0.118108,0
-1.132358,2,-0.165122,-0.181661,-0.035624,-0.255451,-0.229014,-0.227588,-0.164001,-0.371537,-0.215358,-0.187424,-0.587026,-0.130698,-0.122888,1
-0.781236,7,-0.165295,-0.183498,-0.033621,-0.283242,-0.252865,-0.242727,-0.171804,-0.398321,-0.22752,-0.198973,-0.137754,-0.067014,-0.022661,1
-0.547154,4,-0.169529,-0.18672,-0.035511,-0.277569,-0.251666,-0.247024,-0.208461,-0.373187,-0.221709,-0.197927,-0.650203,-0.134552,-0.208271,1
-0.078991,6,-0.157403,-0.172938,-0.03559,-0.226945,-0.176126,-0.215347,-0.170261,-0.289811,-0.199242,-0.15158,-0.650203,-0.134552,0.109394,3
-0.547154,9,-0.053056,-0.056476,-0.034735,-0.123999,-0.13366,-0.070759,-0.05363,-0.162753,-0.095029,0.009765,0.018035,-0.057182,-0.044016,3
-0.196032,9,-0.156455,-0.175323,-0.033196,-0.279291,-0.246626,-0.256873,-0.191403,-0.39845,-0.227659,-0.193041,-0.650203,-0.134552,-0.208271,2
1.676621,9,-0.138506,-0.161115,-0.033772,-0.267185,-0.214339,-0.257464,-0.179596,-0.398657,-0.228903,-0.196535,-0.650203,-0.134552,-0.208271,1
